# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4720044081536
#
# Overhead  Command         Shared Object          Symbol                                  
# ........  ..............  .....................  ........................................
#
     0.00%  benchmark-blas  libblis.so             [.] bli_copysc@plt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c196
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810fda54
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801491
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818010c3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110e7c4
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111db85
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eac79
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81254706
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810ea0b5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81800eeb
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8116c3e3
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801226
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db7e0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff818019df
     0.00%  benchmark-blas  libblis.so             [.] bli_thrinfo_attach_sub_node
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817ea9e5
     0.00%  benchmark-blas  libblis.so             [.] bli_l3_thread_decorator_entry
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81461584
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2c8
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db1a1
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eacb0
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110c1ad
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b25df
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2df
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118a9ef
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110b890
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810eae41
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d908e
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810e60a6
     0.00%  benchmark-blas  libblis.so             [.] bli_thrcomm_bcast
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81800043
     0.00%  benchmark-blas  libgomp.so.1.0.0       [.] omp_get_num_threads
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81421553
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81465add
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dcf88
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db7d8
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817db7e2
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f311
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810e5e67
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110f2b7
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8110e6d5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810e60b1
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817d909e
     0.00%  benchmark-blas  libblis.so             [.] memset@plt
     0.00%  benchmark-blas  libc-2.31.so           [.] getenv
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111dbfc
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810eae57
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817eacbc
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8111db8d
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff814215d2
     0.00%  benchmark-blas  libpthread-2.31.so     [.] __pthread_mutex_unlock_usercnt
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b554a
     0.00%  benchmark-blas  libblis.so             [.] bli_cntx_init_zen3_ref
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b0c58
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b825b
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffffa04858c5
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81801085
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810dce4f
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff8118b5e7
     0.00%  benchmark-blas  libblis.so             [.] bli_stack_init
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff810b0d06
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff817dae90
     0.00%  benchmark-blas  libc-2.31.so           [.] arena_get2.part.4
     0.00%  benchmark-blas  [unknown]              [k] 0xffffffff81121545
