# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 5M of event 'cycles:u'
# Event count (approx.): 4481893855902
#
# Overhead  Command         Shared Object                    Symbol                           
# ........  ..............  ...............................  .................................
#
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b54ed
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110ab89
     0.00%  benchmark-blas  libc-2.31.so                     [.] _IO_file_xsputn
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8180123b
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8113db68
     0.00%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] dgemm_oncopy@plt
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f32a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1de
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b25cf
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810459b1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81461e46
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111da90
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110b579
     0.00%  benchmark-blas  libc-2.31.so                     [.] __strlen_avx2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110ab85
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8113db3c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c3f1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8129444e
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b553a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff812bdbf7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff811241b0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c3f9
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8180199a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81244486
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817dae90
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111db85
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b2590
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eb430
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1f7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eacbc
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810fda66
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810aa559
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110f2d7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8180122a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff818001f2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1e2
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8112428d
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118aa0a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8125404a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c196
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b8262
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817db7e0
     0.00%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] dgemm_itcopy@plt
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c1ad
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801235
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8118b7a7
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81465add
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81800040
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810eae57
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b8a65
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8164a396
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eb42c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810490c0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810ea73c
     0.00%  benchmark-blas  libgomp.so.1.0.0                 [.] GOMP_parallel
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810e60a5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810eae90
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810a22e0
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817eacb5
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110c22c
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff81801251
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8105ea32
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffffa0387009
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810dc3e8
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817d9010
     0.00%  benchmark-blas  libopenblas_zenp-r0.3.27.dev.so  [.] blas_memory_alloc
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8111daa6
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810e6044
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b822b
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff8110e6c1
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff817dae9a
     0.00%  benchmark-blas  [unknown]                        [k] 0xffffffff810b0d59
