# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'cycles:u'
# Event count (approx.): 4982579087577
#
# Overhead  Command         Shared Object             Symbol                                                                                 
# ........  ..............  ........................  .......................................................................................
#
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6797
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a851
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd138
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a92f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db779
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81801223
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a859
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a88c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8104fbfb
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810c437b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800ea0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e8e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810dc3e8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba385
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a94f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810adfc0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810ba34c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db657
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db7d6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110c1a7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b7da0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fd14c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810b6a4f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eacda
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026536
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118b5e9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810fadf0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff810d85a8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9d7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3df0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3e5f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817dae91
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81026582
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817e3d7a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a9f6
