# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4M of event 'cycles:u'
# Event count (approx.): 3514307423429
#
# Overhead  Command         Shared Object             Symbol                                                                                                    
# ........  ..............  ........................  ..........................................................................................................
#
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275d34
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db19b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81253fb0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105e784
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8125459e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bdbe0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81254046
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bdc14
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812543ff
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bce87
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8124441c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8129444e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812443f5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bcc9a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bfd0f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8105e846
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bbe70
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bfd00
     0.00%  benchmark-blas  libstdc++.so.6.0.30       [.] std::use_facet<std::num_put<wchar_t, std::ostreambuf_iterator<wchar_t, std::char_traits<wchar_t> > > >
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812f51a8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812756bf
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812ddc7a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81255586
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812793a9
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8125555a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817eb430
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81294562
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f36
     0.00%  benchmark-blas  ld-2.31.so                [.] strcmp
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bcc99
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8125b92f
     0.00%  benchmark-blas  libc-2.31.so              [.] __strncmp_avx2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bce8a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812ba659
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103770
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812757ae
     0.00%  benchmark-blas  ld-2.31.so                [.] __GI___tunables_init
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8146e229
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bd026
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8127024d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81272a49
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81254dc5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812b85ad
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bdbf0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bdba0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812757b5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81275827
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8113d87c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81255551
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bdc1d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812739ee
     0.00%  benchmark-blas  libc-2.31.so              [.] printf_positional
     0.00%  benchmark-blas  libc-2.31.so              [.] getenv
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8125554d
     0.00%  benchmark-blas  libc-2.31.so              [.] __strchrnul_avx2
     0.00%  benchmark-blas  libpthread-2.31.so        [.] __pthread_enable_asynccancel
     0.00%  benchmark-blas  libpthread-2.31.so        [.] _pthread_cleanup_push_defer
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812509f1
     0.00%  benchmark-blas  libpthread-2.31.so        [.] start_thread
     0.00%  benchmark-blas  libc-2.31.so              [.] __sigsetjmp
     0.00%  benchmark-blas  libc-2.31.so              [.] printf
     0.00%  benchmark-blas  libc-2.31.so              [.] __ctype_init
     0.00%  benchmark-blas  libc-2.31.so              [.] __clone
     0.00%  benchmark-blas  libc-2.31.so              [.] _setjmp
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a934
     0.00%  benchmark-blas  ld-2.31.so                [.] _dl_start
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db771
     0.00%  benchmark-blas  libc-2.31.so              [.] __strlen_avx2
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f2d
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81120b65
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db680
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81121547
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a954
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81103773
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8120b61b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7ef6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f42
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8180004c
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d6
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa50
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800188
     0.00%  benchmark-blas  libc-2.31.so              [.] free
     0.00%  benchmark-blas  libgomp.so.1.0.0          [.] omp_display_env_8_
     0.00%  benchmark-blas  libpthread-2.31.so        [.] pthread_setaffinity_np
     0.00%  benchmark-blas  libstdc++.so.6.0.30       [.] operator delete
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81028a01
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81028a2e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8110377e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a864
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118a87a
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118aa7f
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8118b5e7
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff812bdba5
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff8146b943
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7ef0
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817d7f12
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db676
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db77b
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db78e
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff817db794
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000de
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818000e8
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff81800165
     0.00%  benchmark-blas  [unknown]                 [k] 0xffffffff818001d1


#
# (Cannot load tips.txt file, please install perf!)
#
